,Bubblegum Serif,Bubblegum Sans Serif,City Serif,City Sans Serif,Cowboy Serif,Cowboy Sans Serif,Desert Serif,Desert Sans Serif,Gold Serif,Gold Sans Serif,Heaven Serif,Heaven Sans Serif,Hell Serif,Hell Sans Serif,Moon Serif,Moon Sans Serif,Nature Serif,Nature Sans Serif,Ocean Serif,Ocean Sans Serif
A,"130,135,0.85,-60","120,85,1.0,-45","100,125,0.85,-50","120,85,1.0,-45","12,50,1.0,0","20,20,1.0,0","15,80,1.0,0","20,40,1.0,0","110,120,0.9,-45","130,65,1.0,-45","10,20,1.0,0","20,20,1.0,0","145,150,0.85,-65","55,70,0.85,0","85,70,1.0,-50","70,40,1.0,-37","100,125,0.85,-50","40,60,0.9,0","45,120,1.0,0","60,120,1.0,0"
B,"20,40,0.9,-12","20,40,0.9,-12","20,40,0.9,-12","20,40,0.9,-12","0,0,1.0,0","0,20,1.0,0","20,60,0.9,-12","20,60,0.9,-12","10,10,0.95,-5","-3,20,1.0,0","-10,20,1.0,0","0,20,1.0,0","0,0,1.0,0","0,20,1.0,0","-30,20,1.0,0","-30,20,1.0,0","10,45,0.9,-6","20,60,0.9,-12","40,110,1.0,0","30,130,1.0,0"
C,"25,75,0.9,0","25,75,0.9,0","25,75,0.9,0","25,75,0.9,0","15,10,1.0,0","15,15,1.0,0","25,75,0.9,0","25,75,0.9,0","15,15,1.0,0","15,15,1.0,0","15,15,1.0,0","15,15,1.0,0","15,0,1.0,2","15,15,1.0,0","-15,5,1.0,5","-15,15,1.0,0","25,75,0.9,0","25,75,0.9,0","50,110,1.0,0","50,120,1.0,0"
D,"20,35,1.0,-20","20,35,1.0,-20","20,35,1.0,-20","20,35,1.0,-20","15,5,1.0,-12","15,5,1.0,-12","20,55,1.0,-20","20,55,1.0,-20","15,0,1.0,-10","15,5,1.0,-12","-5,10,1.0,0","-5,10,1.0,0","15,5,1.0,-12","15,5,1.0,-12","-60,-10,1.0,0","-15,5,1.0,-12","20,35,1.0,-20","20,55,1.0,-20","30,110,1.0,0","30,120,1.0,0"
E,"12,23,0.9,-5","0,10,1.0,0","12,23,0.9,-5","0,10,1.0,0","0,0,1.0,0","0,0,1.0,0","0,30,1.0,0","0,30,1.0,0","5,-5,1.0,-5","0,0,1.0,0","0,15,1.0,0","0,15,1.0,0","0,-15,1.0,0","0,0,1.0,0","-50,-15,1.1,0","-50,-15,1.1,0","12,30,0.9,-5","0,30,1.0,0","30,100,1.0,0","30,120,1.0,0"
F,"12,23,0.9,-5","0,10,1.0,0","12,23,0.9,-5","0,10,1.0,0","0,0,1.0,0","0,0,1.0,0","0,30,1.0,0","0,30,1.0,0","5,-5,1.0,-5","0,0,1.0,0","0,15,1.0,0","0,15,1.0,0","0,-15,1.0,0","0,0,1.0,0","-50,-15,1.1,0","-50,-15,1.1,0","12,30,0.9,-5","0,30,1.0,0","30,100,1.0,0","30,120,1.0,0"
G,"0,65,0.9,8","0,65,0.9,8","0,65,0.9,8","0,65,0.9,8","-15,15,1.0,8","-15,15,1.0,8","0,75,0.9,8","0,75,0.9,8","-15,15,1.0,8","-15,15,1.0,8","5,25,1.0,0","5,25,1.0,0","-15,0,1.0,8","-15,15,1.0,8","-45,15,1.0,8","-45,15,1.0,8","0,65,0.9,8","0,75,0.9,8","40,110,1.0,0","30,120,1.0,0"
H,"5,10,1.0,-5","-10,0,1.05,0","5,10,1.0,-5","-10,0,1.05,0","-5,-25,1.05,0","-5,-25,1.05,0","0,30,1.05,0","-10,0,1.05,0","-10,-30,1.12,-3","-5,-25,1.05,0","-5,10,1.05,0","-5,10,1.05,0","-5,-25,1.05,0","-5,-25,1.05,0","-44,-45,1.14,0","-40,-25,1.1,0","5,25,1.0,-5","-10,0,1.05,0","45,110,1.0,0","45,170,1.0,0"
I,"90,117,0.85,-50","100,135,0.85,-60","90,117,0.85,-50","100,135,0.85,-60","10,10,1.0,0","10,20,1.0,0","45,90,0.85,0","45,60,0.85,0","40,70,0.85,-3","120,135,0.85,-60","10,30,1.0,0","10,20,1.0,0","42,40,0.85,0","50,50,0.85,0","10,45,0.85,0","70,80,0.85,-45","90,117,0.85,-50","45,60,0.85,0","47,110,1.0,0","47,120,1.0,0"
J,"50,60,0.9,-5","15,30,0.95,0","70,60,0.9,-5","15,30,0.95,0","40,0,1.0,-3","15,0,1.0,0","40,50,0.95,0","15,40,0.95,0","45,10,1.0,-3","15,0,1.0,0","25,25,1.0,0","15,25,1.0,0","55,5,0.9,0","15,0,1.0,0","0,-10,1.0,0","-15,0,1.0,0","70,60,0.9,-5","15,40,0.95,0","70,110,1.0,0","40,110,1.0,0"
